source,category,item_name,high,low,avg,avg_chg,avg_chg_pct,avg_cny,date
pvinsights,PV PolySilicon,PV Grade PolySilicon  (9N/9N+),23.00,4.70,5.55,-0.1,-1.77%,43.2,2026-03-25
pvinsights,Solar PV Wafer,156 mm Multi Solar Wafer,0.165,0.065,0.078,-0.003,-3.7%,0.61,2026-03-25
pvinsights,Solar PV Wafer,182mm Mono Solar Wafer,0.300,0.120,0.135,-0.004,-2.88%,1.05,2026-03-25
pvinsights,Solar PV Wafer,210mm Mono Solar Wafer,0.405,0.165,0.194,-0.005,-2.51%,1.51,2026-03-25
pvinsights,Solar PV Wafer,182.2mm x 183.75mm N Mono Wafer,0.310,0.120,0.128,-0.004,-3.03%,1.00,2026-03-25
pvinsights,Solar PV Cell,Multi Cell Price,0.110,0.040,0.047,-0.002,-4.08%,0.366,2026-03-25
pvinsights,Solar PV Cell,Poly PERC Cell,0.080,0.043,0.047,-0.002,-4.08%,0.366,2026-03-25
pvinsights,Solar PV Cell,China Mono PERC Cell,0.075,0.045,0.049,-0.002,-3.92%,0.381,2026-03-25
pvinsights,Solar PV Cell,166mm Mono PERC Cell,0.095,0.045,0.049,-0.003,-5.77%,0.381,2026-03-25
pvinsights,Solar PV Cell,182mm Mono PERC Cell,0.110,0.045,0.050,-0.002,-3.85%,0.389,2026-03-25
pvinsights,Solar PV Cell,210mm Mono PERC Cell,0.110,0.045,0.050,-0.002,-3.85%,0.389,2026-03-25
pvinsights,Solar PV Cell,182mm N-Mono Cell,0.110,0.045,0.050,-0.002,-3.85%,0.389,2026-03-25
pvinsights,Solar PV Module,Poly Module,0.290,0.075,0.095,0,0%,0.739,2026-03-25
pvinsights,Solar PV Module,182mm 550/595Wp PERC Module,0.300,0.085,0.098,0,0%,0.762,2026-03-25
pvinsights,Solar PV Module,210mm 600/660Wp PERC Module,0.300,0.090,0.102,0,0%,0.794,2026-03-25
pvinsights,Solar PV Module,Mono PERC Module in China,0.105,0.085,0.096,0,0%,0.747,2026-03-25
pvinsights,Solar PV Module,182mm 580/625Wp N-Mono Module,0.170,0.090,0.104,0,0%,0.809,2026-03-25
pvinsights,Solar PV Module,ThinFilm Solar Module,0.340,0.120,0.200,0,0%,1.556,2026-03-25
