source,category,item_name,high,low,avg,change,date
energytrend,Polysilicon (Per KG),N-Type Recharge Polysilicon (RMB),45,33,33.5,( 0.0 % ),2026-09-02
energytrend,Polysilicon (Per KG),N-Type Dense Polysilicon (RMB),43,32,32.5,( 0.0 % ),2026-09-02
energytrend,Polysilicon (Per KG),N-Type Granular Polysilicon (RMB),41,30,31,( 0.0 % ),2026-09-02
energytrend,Polysilicon (Per KG),Polysilicon Outside China (USD),22,13.1,17.5,( 0.0 % ),2026-09-02
energytrend,Wafer (Per Pcs.),N-Type M10 Mono Wafer - 183mm/130μm (RMB),1.1,1.05,1.08,( -3.57 % ),2026-09-02
energytrend,Wafer (Per Pcs.),N-Type G12 Mono Wafer - 210mm/130μm (RMB),1.18,1.15,1.17,( -6.4 % ),2026-09-02
energytrend,Wafer (Per Pcs.),N-Type 210R Mono Wafer-210*182mm/130μm (RMB),1.1,1.05,1.1,( -4.35 % ),2026-09-02
energytrend,Cell (Per Watt),M10L TOPCon Cell (RMB),0.32,0.3,0.31,( -6.06 % ),2026-09-02
energytrend,Cell (Per Watt),G12 TOPCon Cell (RMB),0.31,0.295,0.3,( -6.25 % ),2026-09-02
energytrend,Cell (Per Watt),G12R TOPCon Cell (RMB),0.31,0.3,0.31,( -6.06 % ),2026-09-02
energytrend,Module (Per Watt),182mm TOPCon Module (RMB),0.75,0.7,0.7,( 0.0 % ),2026-09-02
energytrend,Module (Per Watt),210mm HJT Module (RMB),0.8,0.7,0.7,( 0.0 % ),2026-09-02
energytrend,China Projects Module (Per Watt),Ground-mounted Project 182-210mm TOPCon Module (RMB),0.72,0.65,0.7,( 0.0 % ),2026-09-02
energytrend,China Projects Module (Per Watt),Distributed project 182-210mm TOPCon Module (RMB),0.75,0.67,0.72,( 0.0 % ),2026-09-02
energytrend,PV Glass,2.0mm Double-glazed and Coated PV Glass (RMB),11,10,10.5,( 0.0 % ),2026-09-02
energytrend,PV Glass,3.2mm Double-glazed and Coated PV Glass (RMB),17.5,17,17,( 0.0 % ),2026-09-02
energytrend,PV Glass,2.0 Rear PV Glass (RMB),9,8,8.5,( 0.0 % ),2026-09-02
