source,category,item_name,high,low,avg,change_pct,change_val,date
infolink,Polysilicon,Polysilicon Price - Mono-grade polysilicon (USD),26.0,16.0,18.5,--,--,2026-03-18
infolink,Polysilicon,Polysilicon Price - Mono-grade polysilicon (RMB),50.0,42.0,46.5,-3.1,-1.500,2026-03-18
infolink,Polysilicon,Polysilicon Price - Granular polysilicon (RMB),45.0,42.0,44.0,-2.2,-1.000,2026-03-18
infolink,N Type Wafer,Mono N Type Wafer - 182-183.75mm / 130µm (USD),0.140,0.137,0.140,-2.8,-0.004,2026-03-18
infolink,N Type Wafer,Mono N Type Wafer - 182-183.75mm / 130µm (RMB),1.050,1.030,1.050,-2.8,-0.030,2026-03-18
infolink,N Type Wafer,Mono N Type Wafer - 182*210mm / 130µm (RMB),1.180,1.130,1.150,-2.5,-0.030,2026-03-18
infolink,N Type Wafer,Mono N Type Wafer - 210mm / 130µm (RMB),1.400,1.300,1.350,-3.6,-0.050,2026-03-18
infolink,P Type Cell,Mono PERC Cell - 182-183.75mm / 23.1%+ (USD),0.085,0.047,0.050,--,--,2026-03-18
infolink,N Type Cell,TOPCon Cell - 182-183.75mm / 25.3%+ (USD),0.115,0.055,0.057,--,--,2026-03-18
infolink,N Type Cell,TOPCon Cell - 182-183.75mm / 25.3%+ (RMB),0.430,0.410,0.420,--,--,2026-03-18
infolink,N Type Cell,TOPCon Cell - 182*210mm / 25.3%+ (RMB),0.420,0.410,0.420,-2.3,-0.010,2026-03-18
infolink,N Type Cell,TOPCon Cell - 210mm / 25.3%+ (RMB),0.420,0.400,0.410,-2.4,-0.010,2026-03-18
infolink,Glass to Glass Bifacial N Type Module,182*182-210mm  Mono TOPCon Module (USD),0.450,0.090,0.096,--,--,2026-03-18
infolink,Glass to Glass Bifacial N Type Module,182*182-210mm  Mono TOPCon Module (RMB),0.850,0.690,0.763,--,--,2026-03-18
infolink,Glass to Glass Bifacial N Type Module,210mm  Mono HJT Module (USD),0.100,0.095,0.098,--,--,2026-03-18
infolink,Glass to Glass Bifacial N Type Module,210mm  Mono HJT Module (RMB),0.830,0.730,0.770,--,--,2026-03-18
infolink,China Projects Glass to Glass Bifacial Module,182*182-210mm/210mm TOPCon Module - Ground-mounted project,0.750,0.680,0.700,--,--,2026-03-18
infolink,China Projects Glass to Glass Bifacial Module,182*182-210mm/210mm TOPCon Module - Distributed project,0.850,0.760,0.790,--,--,2026-03-18
infolink,China Projects Glass to Glass Bifacial Module,182*182-210mm BC Module - Ground-mounted project,0.880,0.760,0.810,--,--,2026-03-18
infolink,China Projects Glass to Glass Bifacial Module,182*182-210mm BC Module - C&I project,0.950,0.820,0.860,--,--,2026-03-18
infolink,Region Module,"TOPCon Module - India assembled (USD, FOB)",0.170,0.150,0.160,--,--,2026-03-18
infolink,Region Module,"TOPCon Module - US assembled (USD, DDP)",0.330,0.290,0.300,--,--,2026-03-18
infolink,Region Module,"TOPCon Module - US projects - SEA made (USD, FOB)",0.290,0.250,0.270,--,--,2026-03-18
infolink,Region Module,"TOPCon Module - Europe projects - China made (USD, FOB)",0.124,0.090,0.095,--,--,2026-03-18
infolink,Region Module,"BC Module - Europe C&I projects - China made (USD, FOB)",0.172,0.124,0.137,--,--,2026-03-18
infolink,Region Module,"BC All Black Module - Europe Residential projects - China made (USD, FOB)",0.232,0.130,0.176,--,--,2026-03-18
