source,category,item_name,high,low,avg,change,date
energytrend,Polysilicon (Per KG),N-Type Recharge Polysilicon (RMB),45,33,33.5,( 0.0 % ),2026-08-26
energytrend,Polysilicon (Per KG),N-Type Dense Polysilicon (RMB),43,32,32.5,( 0.0 % ),2026-08-26
energytrend,Polysilicon (Per KG),N-Type Granular Polysilicon (RMB),41,30,31,( 0.0 % ),2026-08-26
energytrend,Polysilicon (Per KG),Polysilicon Outside China (USD),22,13.1,17.5,( 0.0 % ),2026-08-26
energytrend,Wafer (Per Pcs.),N-Type M10 Mono Wafer - 183mm/130μm (RMB),1.12,1.1,1.12,( 0.0 % ),2026-08-26
energytrend,Wafer (Per Pcs.),N-Type G12 Mono Wafer - 210mm/130μm (RMB),1.25,1.2,1.25,( 0.0 % ),2026-08-26
energytrend,Wafer (Per Pcs.),N-Type 210R Mono Wafer-210*182mm/130μm (RMB),1.15,1.1,1.15,( 0.0 % ),2026-08-26
energytrend,Cell (Per Watt),M10L TOPCon Cell (RMB),0.35,0.33,0.33,( -13.16 % ),2026-08-26
energytrend,Cell (Per Watt),G12 TOPCon Cell (RMB),0.33,0.31,0.32,( -5.88 % ),2026-08-26
energytrend,Cell (Per Watt),G12R TOPCon Cell (RMB),0.35,0.33,0.33,( -2.94 % ),2026-08-26
energytrend,Module (Per Watt),182mm TOPCon Module (RMB),0.75,0.7,0.7,( 0.0 % ),2026-08-26
energytrend,Module (Per Watt),210mm HJT Module (RMB),0.8,0.7,0.7,( 0.0 % ),2026-08-26
energytrend,China Projects Module (Per Watt),Ground-mounted Project 182-210mm TOPCon Module (RMB),0.72,0.65,0.7,( 0.0 % ),2026-08-26
energytrend,China Projects Module (Per Watt),Distributed project 182-210mm TOPCon Module (RMB),0.75,0.67,0.72,( 0.0 % ),2026-08-26
energytrend,PV Glass,2.0mm Double-glazed and Coated PV Glass (RMB),11,10,10.5,( 0.0 % ),2026-08-26
energytrend,PV Glass,3.2mm Double-glazed and Coated PV Glass (RMB),18,17,17,( 0.0 % ),2026-08-26
energytrend,PV Glass,2.0 Rear PV Glass (RMB),9,8,8.5,( 0.0 % ),2026-08-26
