source,category,item_name,high,low,avg,avg_chg,avg_chg_pct,avg_cny,date
pvinsights,PV PolySilicon,PV Grade PolySilicon  (9N/9N+),23.00,4.20,5.07,-0.48,-8.65%,39.5,2026-04-01
pvinsights,Solar PV Wafer,156 mm Multi Solar Wafer,0.165,0.065,0.077,-0.001,-1.28%,0.60,2026-04-01
pvinsights,Solar PV Wafer,182mm Mono Solar Wafer,0.300,0.120,0.134,-0.001,-0.74%,1.04,2026-04-01
pvinsights,Solar PV Wafer,210mm Mono Solar Wafer,0.405,0.165,0.192,-0.002,-1.03%,1.50,2026-04-01
pvinsights,Solar PV Wafer,182.2mm x 183.75mm N Mono Wafer,0.310,0.120,0.127,-0.001,-0.78%,0.99,2026-04-01
pvinsights,Solar PV Cell,Multi Cell Price,0.110,0.040,0.046,-0.001,-2.13%,0.358,2026-04-01
pvinsights,Solar PV Cell,Poly PERC Cell,0.080,0.040,0.047,0,0%,0.366,2026-04-01
pvinsights,Solar PV Cell,China Mono PERC Cell,0.075,0.045,0.048,-0.001,-2.04%,0.374,2026-04-01
pvinsights,Solar PV Cell,166mm Mono PERC Cell,0.095,0.045,0.049,0,0%,0.382,2026-04-01
pvinsights,Solar PV Cell,182mm Mono PERC Cell,0.110,0.045,0.049,-0.001,-2%,0.382,2026-04-01
pvinsights,Solar PV Cell,210mm Mono PERC Cell,0.110,0.045,0.049,-0.001,-2%,0.382,2026-04-01
pvinsights,Solar PV Cell,182mm N-Mono Cell,0.110,0.045,0.049,-0.001,-2%,0.382,2026-04-01
pvinsights,Solar PV Module,Poly Module,0.290,0.075,0.094,-0.001,-1.05%,0.732,2026-04-01
pvinsights,Solar PV Module,182mm 550/595Wp PERC Module,0.300,0.085,0.096,-0.002,-2.04%,0.748,2026-04-01
pvinsights,Solar PV Module,210mm 600/660Wp PERC Module,0.300,0.090,0.100,-0.002,-1.96%,0.779,2026-04-01
pvinsights,Solar PV Module,Mono PERC Module in China,0.105,0.085,0.095,-0.001,-1.04%,0.740,2026-04-01
pvinsights,Solar PV Module,182mm 580/625Wp N-Mono Module,0.170,0.090,0.100,-0.004,-3.85%,0.779,2026-04-01
pvinsights,Solar PV Module,ThinFilm Solar Module,0.340,0.120,0.200,0,0%,1.558,2026-04-01
