source,category,item_name,high,low,avg,change_pct,change_val,date
infolink,Polysilicon,Polysilicon Price - Mono-grade polysilicon (USD),26.0,16.5,18.5,--,--,2026-05-06
infolink,Polysilicon,Polysilicon Price - Mono-grade polysilicon (RMB),36.0,32.0,35.5,--,--,2026-05-06
infolink,Polysilicon,Polysilicon Price - Granular polysilicon (RMB),36.0,34.0,35.0,--,--,2026-05-06
infolink,N Type Wafer,Mono N Type Wafer - 182-183.75mm / 130µm (USD),0.132,0.132,0.132,--,--,2026-05-06
infolink,N Type Wafer,Mono N Type Wafer - 182-183.75mm / 130µm (RMB),0.900,0.900,0.900,--,--,2026-05-06
infolink,N Type Wafer,Mono N Type Wafer - 182*210mm / 130µm (RMB),1.000,1.000,1.000,--,--,2026-05-06
infolink,N Type Wafer,Mono N Type Wafer - 210mm / 130µm (RMB),1.200,1.200,1.200,--,--,2026-05-06
infolink,P Type Cell,Mono PERC Cell - 182-183.75mm / 23.1%+ (USD),0.049,0.048,0.049,--,--,2026-05-06
infolink,N Type Cell,TOPCon Cell - China export - 182-183.75mm / 25.3%+ (USD),0.050,0.048,0.049,--,--,2026-05-06
infolink,N Type Cell,TOPCon Cell - 182-183.75mm / 25.3%+ (RMB),0.330,0.325,0.325,--,--,2026-05-06
infolink,N Type Cell,TOPCon Cell - 182*210mm / 25.3%+ (RMB),0.330,0.325,0.330,--,--,2026-05-06
infolink,N Type Cell,TOPCon Cell - 210mm / 25.3%+ (RMB),0.335,0.330,0.330,--,--,2026-05-06
infolink,Glass to Glass Bifacial N Type Module,182*182-210mm/210mm Mono TOPCon Module (USD),0.500,0.100,0.115,--,--,2026-05-06
infolink,Glass to Glass Bifacial N Type Module,182*182-210mm/210mm Mono TOPCon Module (RMB),0.830,0.690,0.756,--,--,2026-05-06
infolink,Glass to Glass Bifacial N Type Module,210mm  Mono HJT Module (USD),0.115,0.100,0.110,--,--,2026-05-06
infolink,Glass to Glass Bifacial N Type Module,210mm  Mono HJT Module (RMB),0.830,0.730,0.760,--,--,2026-05-06
infolink,China Projects Glass to Glass Bifacial Module,182*182-210mm/210mm TOPCon Module - Ground-mounted project,0.750,0.680,0.710,--,--,2026-05-06
infolink,China Projects Glass to Glass Bifacial Module,182*182-210mm/210mm TOPCon Module - Distributed project,0.840,0.730,0.780,--,--,2026-05-06
infolink,China Projects Glass to Glass Bifacial Module,182*182-210mm BC Module - Ground-mounted project,0.880,0.800,0.818,--,--,2026-05-06
infolink,China Projects Glass to Glass Bifacial Module,182*182-210mm BC Module - C&I project,0.950,0.840,0.851,--,--,2026-05-06
infolink,Region Module,"TOPCon Module - India assembled (USD, FOB)",0.155,0.145,0.150,--,--,2026-05-06
infolink,Region Module,"TOPCon Module - US assembled (USD, DDP)",0.330,0.290,0.300,--,--,2026-05-06
infolink,Region Module,"TOPCon Module - US projects - SEA made (USD, FOB)",0.290,0.250,0.270,--,--,2026-05-06
infolink,Region Module,"TOPCon Module - Europe projects - China made (USD, FOB)",0.137,0.108,0.123,--,--,2026-05-06
infolink,Region Module,"BC Module - Europe C&I projects - China made (USD, FOB)",0.177,0.125,0.143,--,--,2026-05-06
infolink,Region Module,"BC All Black Module - Europe Residential projects - China made (USD, FOB)",0.241,0.183,0.204,--,--,2026-05-06
